E,L,P
0.001,0.001,0.9999997767406251
0.008532663316582915,1.508532663316583,0.9931944934702968
0.01606532663316583,3.016065326633166,0.992350572803696
0.023597989949748748,4.523597989949749,0.9920343767394053
0.031130653266331663,6.031130653266333,0.9918689310803377
0.03866331658291458,7.538663316582916,0.9917671967096775
0.046195979899497495,9.046195979899498,0.9916983177399737
0.05372864321608041,10.55372864321608,0.9916485921034529
0.061261306532663325,12.061261306532664,0.9916110064581278
0.06879396984924624,13.568793969849247,0.9915815989033239
0.07632663316582916,15.07632663316583,0.9915579622889934
0.08385929648241207,16.583859296482416,0.9915385497244754
0.09139195979899499,18.091391959798997,0.9915223218125788
0.0989246231155779,19.598924623115582,0.9915085543116795
0.10645728643216082,21.106457286432164,0.9914967271068943
0.11398994974874373,22.61398994974875,0.9914864570291254
0.12152261306532665,24.12152261306533,0.9914774555673139
0.12905527638190956,25.629055276381912,0.9914695013387463
0.13658793969849248,27.136587939698497,0.991462421638952
0.1441206030150754,28.64412060301508,0.9914560797596302
0.15165326633165832,30.151653266331664,0.9914503660750247
0.15918592964824121,31.659185929648245,0.9914451916519895
0.16671859296482414,33.16671859296483,0.9914404835877051
0.17425125628140706,34.67425125628141,0.9914361815535884
0.18178391959798998,36.18178391959799,0.9914322351963822
0.1893165829145729,37.68931658291457,0.991428602158241
0.1968492462311558,39.19684924623116,0.9914252465503787
0.20438190954773872,40.70438190954774,0.9914221377635192
0.21191457286432164,42.21191457286432,0.9914192495315192
0.21944723618090456,43.719447236180905,0.9914165591874549
0.22697989949748745,45.22697989949749,0.9914140470675488
0.23451256281407037,46.734512562814075,0.9914116960297579
0.2420452261306533,48.24204522613066,0.9914094910620912
0.24957788944723622,49.74957788944724,0.9914074189617311
0.2571105527638191,51.25711055276382,0.9914054680704645
0.26464321608040203,52.76464321608041,0.9914036280552224
0.27217587939698495,54.27217587939699,0.9914018897250031
0.2797085427135679,55.77970854271357,0.9914002448773301
0.2872412060301508,57.28724120603015,0.9913986861688341
0.2947738693467337,58.79477386934674,0.9913972070056467
0.30230653266331664,60.30230653266332,0.9913958014501575
0.30983919597989956,61.809839195979905,0.9913944641413541
0.31737185929648243,63.317371859296486,0.991393190226489
0.32490452261306535,64.82490452261308,0.9913919753022405
0.33243718592964827,66.33243718592966,0.9913908153638622
0.3399698492462312,67.83996984924624,0.9913897067610835
0.3475025125628141,69.34750251256283,0.9913886461597385
0.35503517587939704,70.85503517587941,0.9913876305082745
0.36256783919597996,72.36256783919599,0.9913866570084288
0.3701005025125629,73.87010050251257,0.9913857230894834
0.3776331658291458,75.37763316582915,0.9913848263855967
0.38516582914572867,76.88516582914575,0.9913839647157928
0.3926984924623116,78.39269849246233,0.9913831360662506
0.4002311557788945,79.90023115577891,0.991382338574591
0.40776381909547743,81.40776381909549,0.9913815705159039
0.41529648241206035,82.91529648241207,0.991380830290294
0.4228291457286433,84.42282914572866,0.991380116411757
0.4303618090452262,85.93036180904524,0.991379427498222
0.4378944723618091,87.43789447236182,0.9913787622626216
0.44542713567839204,88.9454271356784,0.9913781195048659
0.4529597989949749,90.452959798995,0.9913774981046182
0.4604924623115578,91.96049246231158,0.9913768970147776
0.46802512562814075,93.46802512562816,0.9913763152555913
0.47555778894472367,94.97555778894474,0.9913757519093256
0.4830904522613066,96.48309045226132,0.9913752061154347
0.4906231155778895,97.9906231155779,0.991374677066175
0.49815577889447243,99.49815577889449,0.9913741640026159
0.5056884422110554,101.00568844221107,0.9913736662110081
0.5132211055276382,102.51322110552765,0.99137318301947
0.5207537688442212,104.02075376884424,0.9913727137949624
0.5282864321608041,105.52828643216083,0.9913722579405218
0.535819095477387,107.03581909547741,0.9913718148927263
0.5433517587939699,108.54335175879399,0.991371384119373
0.5508844221105529,110.05088442211057,0.9913709651173446
0.5584170854271358,111.55841708542715,0.9913705574106495
0.5659497487437186,113.06594974874373,0.9913701605486183
0.5734824120603016,114.57348241206032,0.9913697741042415
0.5810150753768845,116.0810150753769,0.9913693976726375
0.5885477386934674,117.58854773869349,0.991369030869637
0.5960804020100503,119.09608040201007,0.9913686733304757
0.6036130653266333,120.60361306532666,0.9913683247085843
0.6111457286432161,122.11114572864324,0.9913679846744675
0.6186783919597991,123.61867839195982,0.9913676529146661
0.626211055276382,125.1262110552764,0.9913673291307928
0.6337437185929649,126.63374371859298,0.9913670130386368
0.6412763819095478,128.14127638190956,0.9913667043673324
0.6488090452261307,129.64880904522616,0.9913664028585841
0.6563417085427137,131.15634170854273,0.9913661082659465
0.6638743718592965,132.66387437185932,0.9913658203541518
0.6714070351758795,134.1714070351759,0.9913655388984834
0.6789396984924624,135.67893969849248,0.9913652636841914
0.6864723618090454,137.18647236180905,0.9913649945059456
0.6940050251256282,138.69400502512565,0.9913647311673245
0.7015376884422111,140.20153768844224,0.991364473480338
0.7090703517587941,141.7090703517588,0.9913642212649789
0.7166030150753769,143.2166030150754,0.9913639743488046
0.7241356783919599,144.72413567839197,0.9913637325665432
0.7316683417085428,146.23166834170857,0.9913634957597248
0.7392010050251258,147.73920100502514,0.9913632637763349
0.7467336683417086,149.24673366834173,0.9913630364704896
0.7542663316582916,150.7542663316583,0.991362813702129
0.7617989949748745,152.2617989949749,0.9913625953367298
0.7693316582914573,153.7693316582915,0.9913623812450342
0.7768643216080403,155.27686432160806,0.9913621713027949
0.7843969849246232,156.78439698492465,0.9913619653905348
0.7919296482412062,158.29192964824122,0.9913617633933198
0.799462311557789,159.79946231155782,0.9913615652005454
0.806994974874372,161.30699497487439,0.9913613707057343
0.8145276381909549,162.81452763819098,0.9913611798063459
0.8220603015075378,164.32206030150755,0.9913609924035961
0.8295929648241207,165.82959296482414,0.9913608084022867
0.8371256281407036,167.33712562814074,0.9913606277106441
0.8446582914572865,168.8446582914573,0.9913604502401672
0.8521909547738694,170.3521909547739,0.9913602759054816
0.8597236180904524,171.85972361809047,0.9913601046242043
0.8672562814070353,173.36725628140707,0.9913599363168127
0.8747889447236182,174.87478894472363,0.9913597709065218
0.8823216080402011,176.38232160804023,0.9913596083191676
0.8898542713567841,177.8898542713568,0.9913594484830961
0.8973869346733669,179.3973869346734,0.9913592913290579
0.9049195979899498,180.90491959799,0.9913591367901083
0.9124522613065328,182.41245226130656,0.9913589848015123
0.9199849246231157,183.91998492462315,0.9913588353006538
0.9275175879396986,185.42751758793972,0.9913586882269501
0.9350502512562815,186.9350502512563,0.9913585435217694
0.9425829145728645,188.44258291457288,0.9913584011283539
0.9501155778894473,189.95011557788948,0.9913582609917443
0.9576482412060303,191.45764824120604,0.9913581230587101
0.9651809045226132,192.96518090452264,0.9913579872776817
0.972713567839196,194.47271356783924,0.9913578535986859
0.980246231155779,195.9802462311558,0.9913577219732853
0.9877788944723619,197.4877788944724,0.9913575923545193
0.9953115577889449,198.99531155778897,0.991357464696848
1.0028442211055277,200.50284422110556,0.9913573389560995
1.0103768844221106,202.01037688442213,0.9913572150894184
1.0179095477386935,203.51790954773872,0.9913570930552175
1.0254422110552763,205.0254422110553,0.9913569728131306
1.0329748743718594,206.5329748743719,0.9913568543239691
1.0405075376884423,208.04050753768848,0.9913567375496781
1.0480402010050252,209.54804020100505,0.9913566224532968
1.055572864321608,211.05557286432165,0.9913565089989187
1.0631055276381909,212.5631055276382,0.9913563971516546
1.070638190954774,214.0706381909548,0.9913562868775969
1.0781708542713568,215.57817085427138,0.991356178143785
1.0857035175879397,217.08570351758797,0.9913560709181729
1.0932361809045226,218.59323618090454,0.9913559651695972
1.1007688442211057,220.10076884422114,0.9913558608677475
1.1083015075376885,221.60830150753773,0.9913557579831369
1.1158341708542714,223.1158341708543,0.9913556564870744
1.1233668341708543,224.6233668341709,0.9913555563516382
1.1308994974874371,226.13089949748746,0.9913554575496505
1.1384321608040202,227.63843216080406,0.9913553600546521
1.145964824120603,229.14596482412063,0.9913552638408794
1.153497487437186,230.65349748743722,0.9913551688832416
1.1610301507537688,232.1610301507538,0.9913550751572987
1.168562814070352,233.66856281407038,0.9913549826392406
1.1760954773869348,235.17609547738698,0.9913548913058672
1.1836281407035176,236.68362814070355,0.9913548011345684
1.1911608040201005,238.19116080402014,0.9913547121033062
1.1986934673366834,239.6986934673367,0.9913546241905961
1.2062261306532664,241.2062261306533,0.9913545373754901
1.2137587939698493,242.71375879396987,0.9913544516375602
1.2212914572864322,244.22129145728647,0.991354366956882
1.228824120603015,245.72882412060304,0.9913542833140195
1.2363567839195981,247.23635678391963,0.9913542006900105
1.243889447236181,248.74388944723623,0.9913541190663515
1.2514221105527639,250.2514221105528,0.9913540384249847
1.2589547738693467,251.7589547738694,0.9913539587482841
1.2664874371859296,253.26648743718596,0.9913538800190431
1.2740201005025127,254.77402010050255,0.9913538022204618
1.2815527638190956,256.2815527638191,0.9913537253361351
1.2890854271356784,257.78908542713566,0.9913536493500412
1.2966180904522613,259.2966180904523,0.9913535742465307
1.3041507537688444,260.80415075376885,0.9913535000103154
1.3116834170854272,262.3116834170854,0.9913534266264583
1.31921608040201,263.81921608040204,0.9913533540803634
1.326748743718593,265.3267487437186,0.9913532823577661
1.3342814070351758,266.8342814070352,0.9913532114447237
1.341814070351759,268.34181407035175,0.9913531413276068
1.3493467336683418,269.84934673366837,0.9913530719930898
1.3568793969849247,271.35687939698494,0.9913530034281431
1.3644120603015075,272.8644120603015,0.991352935620025
1.3719447236180906,274.37194472361807,0.9913528685562732
1.3794773869346735,275.8794773869347,0.9913528022246978
1.3870100502512563,277.38701005025126,0.9913527366133732
1.3945427135678392,278.89454271356783,0.9913526717106318
1.402075376884422,280.40207537688445,0.9913526075050566
1.4096080402010052,281.909608040201,0.9913525439854743
1.417140703517588,283.4171407035176,0.9913524811409494
1.424673366834171,284.92467336683416,0.9913524189607774
1.4322060301507538,286.4322060301508,0.991352357434479
1.4397386934673368,287.93973869346735,0.9913522965517942
1.4472713567839197,289.4472713567839,0.9913522363026767
1.4548040201005026,290.95480402010054,0.9913521766772875
1.4623366834170854,292.4623366834171,0.9913521176659912
1.4698693467336683,293.9698693467337,0.9913520592593492
1.4774020100502514,295.47740201005024,0.9913520014481156
1.4849346733668343,296.98493467336687,0.9913519442232321
1.4924673366834171,298.49246733668343,0.991351887575823
1.5,300.0,0.9913518314971912
